Nº,NOMBRE,UBICACIÓN,ESTATUS,ATENCIONES
01,"C.T CANES, ESCUELA DE GRUMETES",CATIA LA MAR,ACTIVO,1.549
02,C.T UNIVERSIDAD M. DEL CARIBE,CATIA LA MAR,ACTIVO,3.379
03,C.T ESCUELA ÁNGEL HOSTOS,CATIA LA MAR,ACTIVO,75
04,C.T ESTADIO CESAR NIEVES (ONU),CATIA LA MAR,ACTIVO,0
05,C.T- U.E.N.B SANTA EDUVIGIS,MAIQUETIA,ACTIVO,293
06,C.T LICEO ARMANDO REVERON,CATIA LA MAR,ACTIVO,712
07,C.T POLIDEPORTIVO,MAIQUETIA,ACTIVO,1.683
08,C.T LICEO L. GONZÁLEZ ,MAIQUETIA,ACTIVO,399
09,C.T ESCUELA 10 DE MARZO,MAIQUETIA,ACTIVO,1.054
10,C.T U.E JUAN GERMAN ROCIO,MAIQUETIA,ACTIVO,542
11,C.T LICEO REPÚBLICA DE PANAMA,CARLOS SOUBLETT,ACTIVO,1.348
12, C.T U.E.N LA GUAIRA,CARLOS SOUBLETT,ACTIVO,968
13,C.T REGUJIO PARA NIÑOS,CATIA LA MAR,ACTIVO,1
14,C.T U.E CARLOS FIOL,"MARAPA, CATIA LA MAR",ACTIVO,
15,C.T ESCUELA GUACAMACUTO,MACUTO,ACTIVO,253
16,C.T ANTONIO J. DE SUCRE,MARAPA PIACHE CATIA LA MAR,ACTIVO,31
17,C.T FUNDACIÓN SOL DE VARGAS,MAIQUETIA,ACTIVO,37
18,C.T NARCISO GONEL,CATIA LA MAR,ACTIVO,520
19,C.T ESTADIO PLAYA GRANDE (ONU),CATIA LA MAR,ACTIVO,109
20,C.T CIUDAD VACACIONAL LOS CARACAS,LOS CARACAS,ACTIVO,46
21,C.T UNIVERSIDAD SIMÓN BOLÍVAR,NAIGUATA,ACTIVO,513
22,C.T LICEO LICENCIADO ARANDA,"PARIATA, MAIQUETIA",ACTIVO,0
23,C.T LICEO G. OLIVARES BOSQUES,CATIA LA MAR,ACTIVO,23
24,C.T EBE JUAN ARANAGA,MAIQUETIA,ACTIVO,29
25,C.T ENB JUAN DE URPIN,"URIMARE, MAIQUETIA",INACTIVO,0
26,C.T MARTÍN LUTHER KIG,NAIGUATA,INACTIVO,0
27,C.T E. B. E. ALBERTO RAVELL,MAIQUETIA,INACTIVO,0
28,C.T MARE ABAJO,"MARE ABAJO, AV BICENTENARIO",ACTIVO,
29,C.T CEI MANUEL GUAL,CATIA LA MAR,ACTIVO,224
30,C.T MANUEL SEGUNDO SANCHEZ,MAIQUETIA,ACTIVO,0
31,C.T REPÚBLICA DEL SALVADOR,MAIQUETIA,POR INSTALAR,0
