Nº,NOMBRE,UBICACIÓN,ESTATUS,NACIONALIAD,PAIS RESPONSABLE,ATENCIONES
01,HOSPITAL DE CAMPAÑA HQM JOSÉ  A. ÁLAMO,CAMPO DE GOLF CARBALLEDA,ACTIVO,NACIONAL,VENEZUELA,4.943
02,HOSPITAL DE CAMPAÑA HQM VICENTE S. SANOJA,"POLIDEPORTIVO,  MAIQUETIA",ACTIVO,NACIONAL,VENEZUELA,5.663
03,HOSPITAL DE CAMPAÑA HQM JOSÉ M. VARGAS,ESTADIO J. LUIS GARCÍA C. MACUTO,ACTIVO,NACIONAL,VENEZUELA,1.356
04,HOSPITAL DE CAMPAÑA HQM ELBANO P. VIVAS,"HN. NALVAL, CATIA LA MAR",ACTIVO,NACIONAL,VENEZUELA,3.702
05,HOSPITAL DE CAMPAÑA HQM SIVERIO CASTILLO,"MARE ABAJO, CATIA LA MAR",ACTIVO,NACIONAL,VENEZUELA,646
06,HOSPITAL DE CAMPAÑA HQM GUILLERMO H. JACOBSEN,PASEO MACUTO,ACTIVO,NACIONAL,VENEZUELA,509
07,HOSPITAL DE CAMPAÑA GUERRA MENDEZ,TERMINAL DE CATIA LA MAR,DESACTIVADO,NACIONAL,VENEZUELA,1997
08,HOSPITAL DE CAMPAÑA SAMARITAN´S PURSE I. RELIEF,"ESTADIO DE SOFBOL, AV C. SOUBLETT",ACTIVO,EXTRANJERO,EE.UU,2.900
09,HOSPITAL DE CAMPAÑA TEAM RUBICON,"ESTADIO CESAR NIEVES, CATIA LA MAR",ACTIVO,EXTRANJERO,EE.UU,389
10,HOSPITAL DE CAMPAÑA MEDICAL CORP INTERNATIONAL,TERMINAL DE CATIA LA MAR,ACTIVO,EXTRANJERO,EE.UU,1.085
11,HOSPITAL DE CAMPAÑA MARINA DO´ BRASIL,"BAJADA DEL PLAYÓN, CAMURICHICO",DESACTIVADO,EXTRANJERO,BRASIL,2.453
12,HOSPITAL DE CAMPAÑA MINSAL (DOM),"ESTADIO CESAR NIEVES, CATIA LA MAR",DESACTIVADO,EXTRANJERO,DOMINICANA,2.197
13,HOSPITAL DE CAMPAÑA UKMED,"KARTING, CARABALLEDA",ACTIVO,EXTRANJERO,REINO UNIDO,1.029
14,HOSPITAL DE CAMPAÑA PEACE WINDS,"TANAGUARENA , CARABALLEDA",ACTIVO,EXTRANJERO,JAPÓN,1.092
15,HOSPITAL DE CAMPAÑA MISIÓN HUMANITARIA,"URBANISMO H. CHAVEZ, CATIA LA MAR",ACTIVO,EXTRANJERO,EL SALVADOR,2.142
16,HOSPITAL DE CAMPAÑA THE JHONANNTER,NAIGUATÁ,DESACTIVADO,EXTRANJERO,ALEMANIA,433
17,HOSPITAL DE CAMPAÑA LOS CARACAS,CIUDAD VACACIONAL LOS CARACAS,DESACTIVADO,EXTRANJERO,LITUANIA,230
18,HOSPITAL DE CAMPAÑA CRUZ ROJA ESPAÑOLA,"HOSPITAL SAN JOSÉ,  MAIQUETIA",ACTIVO,EXTRANJERO,ESPAÑA,2.704
19,HOSPITAL DE CAMPAÑA CELULA MATERNO INFANTIL,HOSPITAL DR. RAFAEL MEDINA JIMÉNEZ,ACTIVO,EXTRANJERO,SUIZA,195
20,HOSPITAL DE CAMPAÑA HQM FRANCISCO VALBUENA,"ESTADIO CESAR NIEVES, CATIA LA MAR",ACTIVO,NACIONAL,VENEZUELA,796
21,HOSPITAL DE CAMPAÑA DE CANADA,"CANCHA DE FUTBOL TANAGUARENA, NAIGUTA",ACTIVO,EXTRANJERO,CANADÁ,48
